Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/09/2026,02/10/2026,LYFT,Travel,Sale,21.39,
02/09/2026,02/10/2026,APPLE.COM/BILL,Shopping,Sale,28.2,
02/09/2026,02/11/2026,CVS PHARMACY,Health & Wellness,Sale,36.43,
02/09/2026,02/12/2026,ELECTRIC BILL PAYMENT,Bills & Utilities,Sale,109.31,
02/10/2026,02/13/2026,AMC THEATERS,Entertainment,Sale,34.73,
02/11/2026,02/12/2026,STARBUCKS,Food & Drink,Sale,6.74,
02/11/2026,02/12/2026,LYFT,Travel,Sale,13.31,
02/11/2026,02/12/2026,AUTOMATIC PAYMENT - THANK YOU,Payment,Payment,-2433.79,
02/12/2026,02/14/2026,AMAZON.COM,Shopping,Sale,163.44,
02/13/2026,02/15/2026,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,17.56,
02/14/2026,02/15/2026,STARBUCKS,Food & Drink,Sale,6.95,
02/14/2026,02/16/2026,INTEREST CHARGE,Fees & Adjustments,Sale,3.66,
02/15/2026,02/16/2026,AMAZON.COM,Shopping,Sale,55.9,
02/16/2026,02/17/2026,DOORDASH,Food & Drink,Sale,38.87,
02/17/2026,02/18/2026,DOORDASH,Food & Drink,Sale,29.75,
02/17/2026,02/18/2026,UBER,Travel,Sale,10.31,
02/17/2026,02/18/2026,UBER,Travel,Sale,28.58,
02/18/2026,02/19/2026,AMAZON.COM,Shopping,Sale,112.09,
02/18/2026,02/20/2026,ZARA USA,Shopping,Sale,114.54,
02/19/2026,02/20/2026,UBER,Travel,Sale,22.32,
02/19/2026,02/22/2026,LYFT,Travel,Sale,14.33,
02/21/2026,02/24/2026,STARBUCKS,Food & Drink,Sale,10.85,
02/21/2026,02/23/2026,NETFLIX.COM,Entertainment,Sale,15.0,
02/22/2026,02/25/2026,SWEETGREEN,Food & Drink,Sale,16.92,
02/23/2026,02/25/2026,CVS PHARMACY,Health & Wellness,Sale,17.57,
02/24/2026,02/27/2026,DOORDASH,Food & Drink,Sale,40.17,
02/26/2026,02/28/2026,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,13.71,
02/26/2026,03/01/2026,AMC THEATERS,Entertainment,Sale,26.99,
02/28/2026,03/03/2026,STARBUCKS,Food & Drink,Sale,5.69,
02/28/2026,03/01/2026,UBER,Travel,Sale,18.29,
03/01/2026,03/02/2026,AMAZON.COM,Shopping,Sale,51.08,
03/01/2026,03/02/2026,DOORDASH,Food & Drink,Sale,44.43,
03/01/2026,03/04/2026,APPLE.COM/BILL,Shopping,Sale,26.65,
03/02/2026,03/03/2026,SWEETGREEN,Food & Drink,Sale,18.93,
03/03/2026,03/06/2026,AMAZON.COM,Shopping,Sale,84.62,
03/03/2026,03/04/2026,STARBUCKS,Food & Drink,Sale,9.63,
03/03/2026,03/04/2026,SWEETGREEN,Food & Drink,Sale,19.48,
03/05/2026,03/06/2026,UBER,Travel,Sale,26.13,
03/07/2026,03/10/2026,AMAZON.COM,Shopping,Sale,122.23,
03/07/2026,03/08/2026,AMC THEATERS,Entertainment,Sale,24.36,
03/07/2026,03/08/2026,AUTOMATIC PAYMENT - THANK YOU,Payment,Payment,-2686.26,
03/08/2026,03/09/2026,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,14.77,
03/08/2026,03/09/2026,UBER,Travel,Sale,20.72,
03/08/2026,03/11/2026,CVS PHARMACY,Health & Wellness,Sale,52.51,
03/09/2026,03/12/2026,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,16.13,
03/10/2026,03/12/2026,APPLE.COM/BILL,Shopping,Sale,7.27,
03/11/2026,03/13/2026,DOORDASH,Food & Drink,Sale,25.44,
03/12/2026,03/15/2026,STARBUCKS,Food & Drink,Sale,6.35,
03/12/2026,03/13/2026,STARBUCKS,Food & Drink,Sale,9.69,
03/13/2026,03/14/2026,DOORDASH,Food & Drink,Sale,32.56,
03/13/2026,03/15/2026,STARBUCKS,Food & Drink,Sale,8.17,
03/13/2026,03/16/2026,LYFT,Travel,Sale,27.92,
03/14/2026,03/17/2026,UBER,Travel,Sale,18.19,
03/14/2026,03/17/2026,LYFT,Travel,Sale,9.27,
03/16/2026,03/17/2026,NIKE.COM,Shopping,Sale,70.07,
03/16/2026,03/17/2026,ELECTRIC BILL PAYMENT,Bills & Utilities,Sale,138.68,
03/17/2026,03/20/2026,AMAZON.COM,Shopping,Sale,19.38,
03/17/2026,03/18/2026,STEAM PURCHASE,Entertainment,Sale,35.38,
03/17/2026,03/20/2026,INTEREST CHARGE,Fees & Adjustments,Sale,9.35,
03/18/2026,03/20/2026,UBER,Travel,Sale,26.18,
03/18/2026,03/19/2026,NETFLIX.COM,Entertainment,Sale,15.0,
03/21/2026,03/24/2026,STARBUCKS,Food & Drink,Sale,11.2,
03/21/2026,03/22/2026,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,15.2,
03/21/2026,03/23/2026,UBER,Travel,Sale,12.29,
03/21/2026,03/22/2026,LYFT,Travel,Sale,23.84,
03/22/2026,03/25/2026,AMAZON.COM,Shopping,Sale,162.21,
03/22/2026,03/24/2026,AIRBNB,Travel,Sale,528.74,
03/25/2026,03/27/2026,STARBUCKS,Food & Drink,Sale,11.9,
03/26/2026,03/28/2026,SWEETGREEN,Food & Drink,Sale,16.41,
03/26/2026,03/28/2026,CVS PHARMACY,Health & Wellness,Sale,19.25,
03/27/2026,03/29/2026,STARBUCKS,Food & Drink,Sale,6.14,
03/27/2026,03/30/2026,AMC THEATERS,Entertainment,Sale,26.63,
03/28/2026,03/29/2026,STARBUCKS,Food & Drink,Sale,11.07,
03/29/2026,04/01/2026,SPOTIFY USA,Entertainment,Sale,11.0,
03/31/2026,04/02/2026,DOORDASH,Food & Drink,Sale,23.58,
03/31/2026,04/03/2026,ZARA USA,Shopping,Sale,113.48,
